start work: n_jobs=1, start=1646840951.3882332
  integrate [0.0, 1.5707963267948966] starts in 1646840951.5105093

start work: n_jobs=2, start=1646840951.5105093
  integrate [0.0, 0.7853981633974483] starts in 1646840951.6110342
  integrate [0.7853981633974483, 1.5707963267948966] starts in 1646840951.6110342

start work: n_jobs=3, start=1646840951.6269627
  integrate [0.0, 0.5235987755982988] starts in 1646840951.7267942
  integrate [0.5235987755982988, 1.0471975511965976] starts in 1646840951.7267942
  integrate [1.0471975511965976, 1.5707963267948966] starts in 1646840951.7267942

start work: n_jobs=4, start=1646840951.7690992
  integrate [0.0, 0.39269908169872414] starts in 1646840951.873937
  integrate [0.39269908169872414, 0.7853981633974483] starts in 1646840951.873937
  integrate [0.7853981633974483, 1.1780972450961724] starts in 1646840951.873937
  integrate [1.1780972450961724, 1.5707963267948966] starts in 1646840951.873937

start work: n_jobs=5, start=1646840951.8960788
  integrate [0.0, 0.3141592653589793] starts in 1646840951.9964178
  integrate [0.3141592653589793, 0.6283185307179586] starts in 1646840951.9964178
  integrate [0.6283185307179586, 0.9424777960769379] starts in 1646840952.0120692
  integrate [0.9424777960769379, 1.2566370614359172] starts in 1646840952.0120692
  integrate [1.2566370614359172, 1.5707963267948966] starts in 1646840952.0120692

start work: n_jobs=6, start=1646840952.0276957
  integrate [0.0, 0.2617993877991494] starts in 1646840952.1435962
  integrate [0.2617993877991494, 0.5235987755982988] starts in 1646840952.1435962
  integrate [0.5235987755982988, 0.7853981633974483] starts in 1646840952.1435962
  integrate [0.7853981633974483, 1.0471975511965976] starts in 1646840952.1435962
  integrate [1.0471975511965976, 1.308996938995747] starts in 1646840952.1435962
  integrate [1.308996938995747, 1.5707963267948966] starts in 1646840952.1435962

start work: n_jobs=7, start=1646840952.174845
  integrate [0.0, 0.2243994752564138] starts in 1646840952.2907586
  integrate [0.2243994752564138, 0.4487989505128276] starts in 1646840952.2907586
  integrate [0.4487989505128276, 0.6731984257692414] starts in 1646840952.2907586
  integrate [0.6731984257692414, 0.8975979010256552] starts in 1646840952.2907586
  integrate [0.8975979010256552, 1.121997376282069] starts in 1646840952.2907586
  integrate [1.121997376282069, 1.3463968515384828] starts in 1646840952.2907586
  integrate [1.3463968515384828, 1.5707963267948966] starts in 1646840952.2907586

start work: n_jobs=8, start=1646840952.3285484
  integrate [0.0, 0.19634954084936207] starts in 1646840952.444492
  integrate [0.19634954084936207, 0.39269908169872414] starts in 1646840952.444492
  integrate [0.39269908169872414, 0.5890486225480862] starts in 1646840952.444492
  integrate [0.5890486225480862, 0.7853981633974483] starts in 1646840952.444492
  integrate [0.7853981633974483, 0.9817477042468103] starts in 1646840952.444492
  integrate [0.9817477042468103, 1.1780972450961724] starts in 1646840952.444492
  integrate [1.1780972450961724, 1.3744467859455345] starts in 1646840952.444492
  integrate [1.3744467859455345, 1.5707963267948966] starts in 1646840952.444492

start work: n_jobs=9, start=1646840952.4977992
  integrate [0.0, 0.17453292519943295] starts in 1646840952.6138425
  integrate [0.17453292519943295, 0.3490658503988659] starts in 1646840952.6138425
  integrate [0.3490658503988659, 0.5235987755982988] starts in 1646840952.6138425
  integrate [0.5235987755982988, 0.6981317007977318] starts in 1646840952.6138425
  integrate [0.6981317007977318, 0.8726646259971648] starts in 1646840952.6138425
  integrate [0.8726646259971648, 1.0471975511965976] starts in 1646840952.6138425
  integrate [1.0471975511965976, 1.2217304763960306] starts in 1646840952.6138425
