start work: n_jobs=1, start=1646847616.4489613
  integration [0.0, 1.5707963267948966] starts in 1646847616.4489613
start work: n_jobs=2, start=1646847616.6154997
  integration [0.7853981633974483, 1.5707963267948966] starts in 1646847616.6437316
  integration [0.0, 0.7853981633974483] starts in 1646847616.6154997
start work: n_jobs=3, start=1646847616.7791865
  integration [0.5235987755982988, 1.0471975511965976] starts in 1646847616.8095372
  integration [0.0, 0.5235987755982988] starts in 1646847616.7791865
  integration [1.0471975511965976, 1.5707963267948966] starts in 1646847616.872621
start work: n_jobs=4, start=1646847616.9420521
  integration [0.39269908169872414, 0.7853981633974483] starts in 1646847616.9731956
  integration [0.0, 0.39269908169872414] starts in 1646847616.9425874
  integration [0.7853981633974483, 1.1780972450961724] starts in 1646847617.0141795
  integration [1.1780972450961724, 1.5707963267948966] starts in 1646847617.0343091
start work: n_jobs=5, start=1646847617.0968237
  integration [0.3141592653589793, 0.6283185307179586] starts in 1646847617.1280842
  integration [0.0, 0.3141592653589793] starts in 1646847617.0968237
  integration [0.6283185307179586, 0.9424777960769379] starts in 1646847617.1502848
  integration [0.9424777960769379, 1.2566370614359172] starts in 1646847617.1971512
  integration [1.2566370614359172, 1.5707963267948966] starts in 1646847617.2127655
start work: n_jobs=6, start=1646847617.2505622
  integration [0.5235987755982988, 0.7853981633974483] starts in 1646847617.3130724
  integration [0.0, 0.2617993877991494] starts in 1646847617.2661972
  integration [1.0471975511965976, 1.308996938995747] starts in 1646847617.350886
  integration [0.7853981633974483, 1.0471975511965976] starts in 1646847617.328708
  integration [1.308996938995747, 1.5707963267948966] starts in 1646847617.3665133
  integration [0.2617993877991494, 0.5235987755982988] starts in 1646847617.2818215
start work: n_jobs=7, start=1646847617.4133904
  integration [0.0, 0.2243994752564138] starts in 1646847617.4133904
  integration [0.6731984257692414, 0.8975979010256552] starts in 1646847617.4801967
  integration [1.121997376282069, 1.3463968515384828] starts in 1646847617.5270925
  integration [0.2243994752564138, 0.4487989505128276] starts in 1646847617.4355428
  integration [0.4487989505128276, 0.6731984257692414] starts in 1646847617.4645522
  integration [0.8975979010256552, 1.121997376282069] starts in 1646847617.511862
  integration [1.3463968515384828, 1.5707963267948966] starts in 1646847617.5356069
start work: n_jobs=8, start=1646847617.5824938
  integration [0.0, 0.19634954084936207] starts in 1646847617.5824938
  integration [0.39269908169872414, 0.5890486225480862] starts in 1646847617.6137586
  integration [0.19634954084936207, 0.39269908169872414] starts in 1646847617.5981867
  integration [0.5890486225480862, 0.7853981633974483] starts in 1646847617.62939
  integration [0.9817477042468103, 1.1780972450961724] starts in 1646847617.6828053
  integration [0.7853981633974483, 0.9817477042468103] starts in 1646847617.6359098
  integration [1.1780972450961724, 1.3744467859455345] starts in 1646847617.698448
  integration [1.3744467859455345, 1.5707963267948966] starts in 1646847617.7296894
start work: n_jobs=9, start=1646847617.7362044
  integration [0.17453292519943295, 0.3490658503988659] starts in 1646847617.7674854
  integration [0.0, 0.17453292519943295] starts in 1646847617.7362044
  integration [0.3490658503988659, 0.5235987755982988] starts in 1646847617.7831113
  integration [0.8726646259971648, 1.0471975511965976] starts in 1646847617.8304074
  integration [0.6981317007977318, 0.8726646259971648] starts in 1646847617.8143609
  integration [0.5235987755982988, 0.6981317007977318] starts in 1646847617.7987344
  integration [1.3962634015954636, 1.5707963267948966] starts in 1646847617.8833394
  integration [1.2217304763960306, 1.3962634015954636] starts in 1646847617.8677135
  integration [1.0471975511965976, 1.2217304763960306] starts in 1646847617.8521886
start work: n_jobs=10, start=1646847617.914971
  integration [0.9424777960769379, 1.0995574287564276] starts in 1646847617.9860795
  integration [1.2566370614359172, 1.413716694115407] starts in 1646847618.0325003
  integration [0.7853981633974483, 0.9424777960769379] starts in 1646847617.970244
  integration [0.6283185307179586, 0.7853981633974483] starts in 1646847617.9681838
  integration [1.0995574287564276, 1.2566370614359172] starts in 1646847618.0015242
  integration [0.3141592653589793, 0.47123889803846897] starts in 1646847617.9367576
  integration [0.47123889803846897, 0.6283185307179586] starts in 1646847617.9526114
  integration [0.0, 0.15707963267948966] starts in 1646847617.914971
  integration [0.15707963267948966, 0.3141592653589793] starts in 1646847617.9302258
  integration [1.413716694115407, 1.5707963267948966] starts in 1646847618.0505042
start work: n_jobs=11, start=1646847618.0824997
  integration [1.1423973285781066, 1.2851969946503699] starts in 1646847618.1872642
  integration [0.14279966607226333, 0.28559933214452665] starts in 1646847618.0965068
  integration [0.0, 0.14279966607226333] starts in 1646847618.0824997
  integration [0.42839899821678995, 0.5711986642890533] starts in 1646847618.1265175
  integration [0.5711986642890533, 0.7139983303613167] starts in 1646847618.1376567
